Contribution ID;Comment ID;Comment Subject;Comment Text;created (UTC);;
10;87;;Ohja, ich stimme Ihnen so sehr zu! Genau meine Einstellung :-);2020-10-16T13:06:47Z;;
10;258;;Eine gewisse Symmetrie durch gleichmäßige Baumreihen finde ich an einem so repräsentativen Ort wie dem Jungfernstieg eigentlich ganz hübsch;2020-10-19T15:26:25Z;;
12;16;;Das wird sicherlich bei erfolgreicher Evaluierung zukünftig umgesetzt werden, ich bin da ganz auf deiner Seite!;2020-10-15T22:54:52Z;;
13;5;;Über die Zufahrten und Wegfahrten für jene , die in der Innenstadt ein Parkplatz haben, hat sich der Senat nicht wirklich Gedanken gemacht. Man kommt mit der neuen Verkehrsführung auch gar nicht mehr an den Ballindamm stadtauswärts...;2020-10-15T15:21:59Z;;
16;2;;Durch die Sperrung einer Straße mit keinen Parkplätzen und der Aufrechterhaltung der Zufahrt zu Parkhäusern fallen doch keine Kunden weg...;2020-10-15T15:15:58Z;;
16;3;(Kein Betreff);[Kommentar gelöscht] Anmerkung der Redaktion: Dieser Beitrag wurde entfernt. Bitte achten Sie darauf, dass ihre Beiträge sachlich bleiben. Beachten Sie die Regeln zur Nutzung der Beteiligungsplattform (siehe FAQ).;2020-10-15T15:17:51Z;;
16;4;Antwort an Nr. 3;[Kommentar gelöscht] Anmerkung der Redaktion: Dieser Beitrag wurde entfernt. Bitte achten Sie darauf, dass ihre Beiträge sachlich bleiben. Beachten Sie die Regeln zur Nutzung der Beteiligungsplattform (siehe FAQ).;2020-10-15T15:21:11Z;;
16;7;Antwort an Nr. 4;Verkehrssenator Anjes Tjarks hat kein Auto und fährt täglich Fahrrad...;2020-10-15T15:24:21Z;;
16;12;Antwort an Nr. 3;Vielen Dank für diese geistreiche Meinung...;2020-10-15T22:42:02Z;;
17;1;;Durch die Sperrung einer Straße mit keinen Parkplätzen und der Aufrechterhaltung der Zufahrt zu Parkhäusern fallen doch keine Kunden weg...;2020-10-15T15:15:19Z;;
17;8;Antwort an Nr. 1;Falsch.....es fängt ja damit erst nur an. Es werden weitere Straßen gesperrt ..... und irgendwann darf man gar nicht mehr mit dem Auto in die Stadt;2020-10-15T15:37:59Z;;
17;324;Antwort an Nr. 8;Jaa, das wäre schön!;2020-10-21T18:00:03Z;;
17;14;;Können Sie diese These auch sachlich belegen? Es gibt ja weitere europäische Städte, die lange schon diesen Schritt gegangen sind. Nennen Sie belegbar, wo es zu einem Verlust der Kaufkraft aufgrund dieser Maßnahme gekommen ist, ansonsten ist ihre Aussage nicht mehr als eine widerlegbare Stammtischparole.;2020-10-15T22:48:07Z;;
17;30;;"Beispiele aus anderen Europäischen Metropolen belegen das Gegenteil. Umsatz, Frequentierung und Aufenthaltsdauer steigen Signifikant an.

https://www.handelszeitung.ch/unternehmen/weniger-autos-mehr-umsatz-fur-die-laden-im-stadtzentrum

https://www.clevere-staedte.de/projekt/f%C3%BCr-den-verband-deutscher-verkehrsunternehmen-umweltverbund-bringt-einzelhandelsumsatz

Demnach sollte die Auto freie Zone noch viel weiter gehen.";2020-10-16T06:09:34Z;;
17;68;;Sehr richtig! Ich werde jedenfalls nicht mehr freiwillig in die Hamburger Innenstadt fahren. Soll daraus doch eine idyllisch menschenleere Öko-Welt werden.;2020-10-16T11:22:59Z;;
17;182;;Das kaufkräftigste Publikum wird ja wohl noch die paar Euro für einen Platz im Parkhaus übrig haben...;2020-10-17T20:52:11Z;;
17;257;Antwort an Nr. 182;Hahahaha Ehre genommen;2020-10-19T15:22:52Z;;
17;284;;Haben Sie irgendeinen Beleg für Ihre kühnen Behauptungen? Oder ist Ihr Beitrag lediglich der typische Autofahrer*innen-Idealismus auf dem Rücken der Gesellschaft?;2020-10-20T13:54:52Z;;
17;318;Antwort an Nr. 284;Der Fahrradfahrer-Idealismus ist besser?;2020-10-21T17:30:28Z;;
18;6;;Nach aktuellen Planungen ist dies nicht möglich. Eine Alternative wäre über die B4 und den Ring 1;2020-10-15T15:22:09Z;;
