Contribution ID;Comment ID;Comment Subject;Comment Text;created (UTC)
7;4;;Der Entwurf mit dem vielen Grün gefällt mir gut! Da die Radverkehrsführung auch schon eingezeichnet ist, würde ich gerne vorschlagen, die Kommunaltrasse in der Mitte der Brücke für den Radverkehr zu öffnen und so einen sicheren und komfortablen Übergang auch für Radfahrer über die Elbe zu schaffen und so den Stadteingang für alle 'erlebbar zu machen'.;2020-10-02T16:30:51Z
7;112;Antwort an Nr. 4;Sehe ich genauso. Oder es sollten die Radwege über die Elbbrücken verbreitert werden, sodass in beide Richtungen eine beidseitige Befahrung rechtlich möglich ist.;2020-10-03T16:06:22Z
7;217;Antwort an Nr. 112;Absolute Zustimmung!;2020-10-07T18:05:21Z
7;9;;Komunaltrasse für Radverkehr in Brückenmitte ist wesentlich sinnvoller, als neue Fahrspuren außen dranzuhängen. die Radverkehrstrassen müssen dem zukünftig gewünschten Modal-Split entsprechen.  Außen entstehen dann Zweirichtungsradwege und das ist stets gefährlich.;2020-10-02T19:52:11Z
7;27;Antwort an Nr. 9;"Dem kann ich nur zustimmen,
Wenn man Hamburg grundsätzlich Fahrrad freundlicher gestalten und den Sprung über die Elbe eben für alle ermöglichen will, eäre das eine ideale Lösung.";2020-10-02T21:30:59Z
7;38;Antwort an Nr. 9;Was für Fahrspuren für den Radverkehr sind hier denn vorgesehen? Das sieht auf den Bildern ja so aus als wäre alles wie vorher. Extrem schmale Radwege gemischt mit Gegenverkehr und Leuten zu Fuß. Sieht so aus als wäre der schlechte Zustand der Elbbrücke gar nicht Teil des Entwurfs. Oder ich habe den genauen Plan nicht gefunden.;2020-10-02T22:59:59Z
7;218;Antwort an Nr. 9;"Das sehe ich anders. Lieber den Nahverkehr über die Elbbrücke ausbauen (aktuell werden die Busspuren viel zu wenig genutzt), das würde die Brücke effizienter nutzen.
Mit einer geschickten Radwegführung über die Freihafenbrücke oder einer Verbreiterung der Wege links und rechts der Brücke könnte man dann viel einfacher die Situation für den Radverkehr verbessern.";2020-10-07T18:09:18Z
7;28;;"Dieser Entwurf ist mir persönlich viel zu steril.
Wo bleibt da das Zusammenleben?
Und die Fischbude würde auf jeden Fall fehlen!";2020-10-02T21:34:28Z
7;40;;Kann bitte die Autowerbung aus dem Stadeingang entfernt werden? Dieses Fremdschämen für Betrüger und Umweltzerstörer muss mal ein Ende haben. Sollte sich dort nicht eher ein FFF Logo drehen? Oder irgendwas in die Zukunft gerichtetes?;2020-10-03T00:05:30Z
7;41;Antwort an Nr. 40;Ist es geplant die Ampel an diesem prominent gezeigten Haus auch durchgängig zu gestalten? Derzeit landet man auf der Mittelinsel und auf der anderen Seite ist (vor allem in der Rushhour) dauerhaft sehr aggresiver SUV/LKW/PKW Verkehr und es ist kaum noch möglich eine Lücke zu finden um die Straße zu queren. Also allgemein gibt es hier keine Möglichkeit ohne riesige Umwege zu Fuß oder mit dem Rad die Seite zu wechseln. Nur bis zur Bushaltestelle;2020-10-03T00:23:42Z
7;42;Antwort an Nr. 41;Eine kostenlose Busverbindung von dem Haus zur U/S-Bahn Elbbrücken wäre sonst eine alternative Lösung solange in den Autoverkehr nicht eingegriffen werden darf (aus Gründen).;2020-10-03T00:26:20Z
7;143;Antwort an Nr. 40;"FFF eher weniger, ich wäre für eine großen 360 Grad Display, welches News und Werbung ausstrahlt.

Außerdem auch Stadt bezogene Themen zu HH.

Gibt vielleicht ein leichtes Time- Square Ähnliches feeling, wenn man Richtung Stadt kommt.

Natürlich müsste man farbtechnisch und bei der Architektur vom derzeitigen Mercedes Gebäude arbeiten.";2020-10-03T21:03:39Z
7;145;Antwort an Nr. 143;"Oder einfach ein rotes oder weißes „HH“ oder „Hamburger Wappen” Logo, welches sich ebenso im Kreis dreht, mit angemessene Farbtönen.

Alles ist besser als es mit dem Mercedes Logo zu lassen wie es ist.";2020-10-03T21:09:17Z
7;284;Antwort an Nr. 145;Das finde ich auch;2020-10-11T13:05:37Z
7;335;Antwort an Nr. 145;Hamburg-Wappen ist supi!;2020-10-29T23:01:46Z
7;44;;Hat eine Unterquerunge der Elbbrücke nicht das selbe Problem wie jetzt schon bei der anderen Unterquerung? Hochwasser überschwemmt den Weg und er ist gesperrt. Solange wir fröhlich das Klima weiter aufheizen wird das doch eher noch mehr werden. Sollte nicht eine Brücke über die Straße helfen auch in der Zukunft sicher unterwegs zu sein?;2020-10-03T01:22:57Z
7;57;Antwort an Nr. 44;Erst das Klima um 3 grad kühlen, dann die Unterquerung bauen. Man(n) muss Dinge in der richtigen Reihenfolge tun!;2020-10-03T06:27:32Z
7;68;Antwort an Nr. 57;Der ganze Beton für die hier projektierten Bauten heizt erst mal ordentlich. Und die eng an die Blockrämder geplanten Häuser mit geschlossenen Innenhöfen werden sicher im Sommer so heiß, dass sie künstlich gekühlt werden müssen. Da hat jemand noch gar gar nix verstanden, das kommt dann wohl erst, wenn die Nordsee hier reinschwappt.;2020-10-03T10:15:36Z
7;47;;Sieht interessant aus, aber die neuen Gebäude die entstehen sollten mit Tiefgaragen ausgestattet werden, damit es zu keinem Parkplatz problem kommt für Anwohner.;2020-10-03T04:43:01Z
7;219;Antwort an Nr. 47;Mh, die Mehrheit der Anwohner in Hamburg Mitte besitzt kein Auto, und die Tendenz ist stark fallend. Ich denke es gibt wichtigere Probleme.;2020-10-07T18:11:34Z
7;56;;Ich fasse zusammen: An allen Straßen werden Bäume gepflanzt. Gute Idee!;2020-10-03T06:25:28Z
7;70;Antwort an Nr. 56;Interessant wären die geplanten Abholzungen zum Vergleich. Und außer Ginkgos wird sich kaum was in den Straßenschluchten halten.;2020-10-03T10:17:25Z
